unit ,province,year,co2,so2,lngdpcapita,wastewater,industrialsector
1,Anhui,1997,109.5,33.2287,8.27614022,11.20294325,29.9784435
1,Anhui,1998,105.8,37.9063,8.355875188,11.03024988,30.12041086
1,Anhui,1999,113.2,36.4298,8.442969894,11.06062029,30.24141516
1,Anhui,2000,118.7,35.0625,8.522704862,11.05257113,30.49870955
1,Anhui,2001,127,34.8743,8.607964706,11.05451834,32.7100357
1,Anhui,2002,112.8,34.9088,8.699631895,11.07561359,31.68121328
1,Anhui,2003,168,40.5353,8.789472599,11.05918881,32.01031834
1,Anhui,2004,153.8,43.8527,8.914341581,11.06748176,31.28401235
1,Anhui,2005,156.7,51.4744,9.024092445,11.05859044,34.34208633
1,Anhui,2006,175.8,51.9174,9.14542473,11.15794908,36.65226994
1,Anhui,2007,197.7,51.6732,9.278205841,11.2058023,38.174576
1,Anhui,2008,225,50.2633,9.397765076,11.11255237,39.60466172
1,Anhui,2009,251.5,48.6864,9.519097362,11.20423764,40.39344836
1,Anhui,2010,261.9,48.3912,9.65537498,11.17002662,43.75156258
1,Anhui,2011,291.3,48.7228,9.782007631,11.1664837,46.15490192
1,Anhui,2012,318.2,46.98,9.896228775,11.11505643,46.62919292
1,Anhui,2013,343.1,45.02,9.995168723,11.17004071,46.18177223
1,Anhui,2014,350.4,44.0642,10.0831796,11.15023245,45.35274297
1,Anhui,2015,351.3,42.0033,10.16660121,11.17655722,42.10204389
1,Anhui,2016,362,,,,
1,Anhui,2017,371,,,,
2,Gansu,1997,50.3,35.7872,8.07059354,10.43019637,36.12787782
2,Gansu,1998,50.9,33.2082,8.163172721,10.43488022,35.06370611
2,Gansu,1999,51.5,25.7282,8.249350417,10.2947185,34.1925297
2,Gansu,2000,54.3,31.1878,8.341929599,10.07723075,31.11465694
2,Gansu,2001,56.1,31.5363,8.435419942,9.938951217,31.59049912
2,Gansu,2002,59,37.3804,8.529820617,9.88720572,31.60474988
2,Gansu,2003,67,44.1105,8.631474271,9.94745659,32.02031675
2,Gansu,2004,77.9,43.7688,8.740328676,9.814273752,33.99487116
2,Gansu,2005,84.2,51.6827,8.851870051,9.729015111,35.46055285
2,Gansu,2006,89.4,46.3,8.959827192,9.71534911,38.12018355
2,Gansu,2007,97.8,43.6,9.075830868,9.671303257,39.34348627
2,Gansu,2008,103.3,41.2,9.172049726,9.705341445,37.53860339
2,Gansu,2009,100.8,40.0926,9.270083466,9.702839079,35.53294997
2,Gansu,2010,126.5,45.2464,9.381624841,9.639001038,38.89753079
2,Gansu,2011,138.9,52.7689,9.499407876,9.889388628,38.32287262
2,Gansu,2012,152.7,47.99,9.618079406,9.862040363,36.64011893
2,Gansu,2013,159.6,47.28,9.720635994,9.912001208,34.04399836
2,Gansu,2014,163.5,47.6964,9.805895838,9.890503625,33.10310934
2,Gansu,2015,158.5,46.6984,9.883782377,9.839482223,26.18580568
2,Gansu,2016,152,,,,
2,Gansu,2017,151,,,,
3,Guangxi,1997,50.8,49.8182,8.275885669,11.27126146,28.86174164
3,Guangxi,1998,51.8,64.3485,8.371195849,11.3723637,29.36953906
3,Guangxi,1999,52.4,54.8499,8.44815689,11.37987396,28.95186694
3,Guangxi,2000,56.2,80.0485,8.524191577,11.30922909,29.43837619
3,Guangxi,2001,56.1,66.2624,8.603926545,11.41323772,28.05856081
3,Guangxi,2002,56.5,64.6194,8.704676448,11.48376438,27.70304272
3,Guangxi,2003,66.7,83.0469,8.801803159,11.68932117,28.84644697
3,Guangxi,2004,86.6,89.6894,8.913344533,11.71775025,30.4295908
3,Guangxi,2005,98.9,97.4651,9.037330513,11.88868023,31.7471951
3,Guangxi,2006,112.8,94.4095,9.163963164,11.76704041,33.54985925
3,Guangxi,2007,128.2,92.6247,9.304594294,12.12258777,35.89134201
3,Guangxi,2008,133,87.0264,9.425040447,12.23439282,37.42187723
3,Guangxi,2009,151.8,83.5296,9.555191131,11.99285467,36.90914996
3,Guangxi,2010,171.8,84.797,9.687972243,12.01497872,40.33981724
3,Guangxi,2011,192.3,48.8744,9.803975918,11.52518995,41.39086945
3,Guangxi,2012,204.9,47.16,9.911034991,11.61431712,40.50034139
3,Guangxi,2013,210,43.8,10.0081617,11.40208329,38.75805369
3,Guangxi,2014,207.8,43.1075,10.08974169,11.19733762,38.69956339
3,Guangxi,2015,269.7,38.5507,10.16762823,11.05489784,37.84904232
3,Guangxi,2016,211,,,,
3,Guangxi,2017,221,,,,
4,Guizhou,1997,72.2,60.925,7.718685495,10.20473963,31.16196528
4,Guizhou,1998,78.3,85.1546,7.800265482,10.34538102,31.89925325
4,Guizhou,1999,77.2,67.881,7.884606631,10.16842543,31.4048
4,Guizhou,2000,81.2,64.249,7.965264534,9.932949263,31.91801305
4,Guizhou,2001,82.9,57.1407,8.049605682,9.943285022,31.83089643
4,Guizhou,2002,86.3,57.7097,8.136700389,9.747827401,31.8031574
4,Guizhou,2003,110.1,57.0254,8.232919247,9.730026624,33.18844034
4,Guizhou,2004,128.6,59.979,8.340876388,9.687753979,34.41411372
4,Guizhou,2005,145.6,65.9379,8.450627252,9.605755144,35.27191312
4,Guizhou,2006,169.6,103.9679,8.559481657,9.541656481,35.87589462
4,Guizhou,2007,172,92.0586,8.697502955,9.401043373,33.93975958
4,Guizhou,2008,163.4,74.1315,8.804562027,9.366916679,33.56113613
4,Guizhou,2009,184.7,62.3743,8.912519169,9.508814006,32.01565168
4,Guizhou,2010,191.5,63.7779,9.032965322,9.556055476,32.95995793
4,Guizhou,2011,211,90.3132,9.172727264,9.934307695,32.08087214
4,Guizhou,2012,230.1,83.71,9.300240584,10.06044857,32.35544789
4,Guizhou,2013,233.2,77.86,9.41802362,10.03880485,33.22080511
4,Guizhou,2014,231,70.2427,9.520580208,10.39433493,33.89540047
4,Guizhou,2015,233.6,59.8896,9.622233862,10.28103318,31.5692555
4,Guizhou,2016,249,,,,
4,Guizhou,2017,255,,,,
5,Hainan,1997,7.2,1.6891,8.624611588,8.902999662,12.65930538
5,Hainan,1998,10.4,2.0137,8.706191575,8.924656302,13.36484744
5,Hainan,1999,8.1,2.2148,8.787771562,8.869819953,13.29431263
5,Hainan,2000,8.7,2.0178,8.873949258,8.862766742,13.37458715
5,Hainan,2001,9.2,1.9283,8.961043965,8.853808275,16.8965934
5,Hainan,2002,12.8,2.2037,9.052711154,8.877660934,17.33542856
5,Hainan,2003,15.6,2.2442,9.153461057,8.879193928,18.52484733
5,Hainan,2004,17.2,2.2097,9.255114711,8.838406747,18.49059366
5,Hainan,2005,16.5,2.1825,9.352241421,8.913011922,19.25659864
5,Hainan,2006,19.2,2.3286,9.470024457,8.902591637,22.36245742
5,Hainan,2007,21.7,2.4944,9.616718836,8.69282576,22.19555563
5,Hainan,2008,24.8,2.1204,9.714752576,8.698013622,20.55074315
5,Hainan,2009,27,2.1433,9.825399097,8.858084222,18.17362971
5,Hainan,2010,28.9,2.8167,9.973819102,8.662504923,18.65875515
5,Hainan,2011,34.9,3.1058,10.08714779,8.827614751,18.83091657
5,Hainan,2012,37.3,3.3,10.17424249,8.91798071,18.25048852
5,Hainan,2013,39.5,3.17,10.26864317,8.8164085,14.86612369
5,Hainan,2014,40.7,3.1855,10.35022316,8.98168164,14.69412007
5,Hainan,2015,42.3,3.1683,10.42533063,8.836228572,13.12129331
5,Hainan,2016,40,,,,
5,Hainan,2017,42,,,,
6,Hebei,1997,212.1,100.8922,8.712595488,11.23261615,43.03274335
6,Hebei,1998,211.3,121.1946,8.814249141,11.57525217,42.8112246
6,Hebei,1999,222.8,111.6566,8.901343848,11.48678681,41.98339015
6,Hebei,2000,237.3,113.3599,8.992098212,11.4031106,43.65082197
6,Hebei,2001,251.5,109.5947,9.07551982,11.54288225,43.10573598
6,Hebei,2002,284.4,105.3356,9.167187008,11.578451,42.88417953
6,Hebei,2003,328.6,119.4954,9.276937872,11.59288202,43.48784692
6,Hebei,2004,374.2,121.513,9.398270157,11.75497713,44.96905385
6,Hebei,2005,459.1,128.1425,9.524021363,11.73232602,46.98590008
6,Hebei,2006,486.7,132.568,9.648007342,11.7779017,47.83878056
6,Hebei,2007,529,129.4416,9.768453496,11.72429599,47.88099347
6,Hebei,2008,554.4,115.8712,9.864672353,11.7049663,49.28525347
6,Hebei,2009,577.8,104.2679,9.959982533,11.60876278,46.32223762
6,Hebei,2010,647,99.4177,10.07509534,11.64598675,46.84666176
6,Hebei,2011,724.6,131.7099,10.18215441,11.68271043,48.01148323
6,Hebei,2012,714.5,123.87,10.2738216,11.71704928,47.08032095
6,Hebei,2013,768.9,117.31,10.35263278,11.60710774,46.39026543
6,Hebei,2014,751.9,104.7351,10.41560758,11.59507672,45.30978565
6,Hebei,2015,734.1,82.9414,10.48139532,11.45221959,42.36101256
6,Hebei,2016,748,,,,
6,Hebei,2017,726,,,,
7,Heilongjiang,1997,129.1,22.4417,8.872487182,11.08272699,48.91846298
7,Heilongjiang,1998,124.2,22.1736,8.95222215,11.01452236,48.01038062
7,Heilongjiang,1999,122.1,21.4774,9.024542812,10.89183845,48.8399679
7,Heilongjiang,2000,125.3,22.167,9.103353992,10.87130755,49.70489306
7,Heilongjiang,2001,121.1,21.895,9.192280201,10.808596,46.96026666
7,Heilongjiang,2002,117.9,21.3322,9.289406912,10.77860206,45.38656109
7,Heilongjiang,2003,129.6,28.5306,9.386533623,10.82548199,46.20693055
7,Heilongjiang,2004,140.2,29.4724,9.497180143,10.7186311,47.20077464
7,Heilongjiang,2005,158.1,43.1177,9.606931007,10.71792273,48.90182636
7,Heilongjiang,2006,179,43.9958,9.720259692,10.70998574,49.08464535
7,Heilongjiang,2007,187.4,44.0419,9.833588378,10.55550019,46.83136261
7,Heilongjiang,2008,197.3,44.1284,9.945129752,10.56900657,46.50298219
7,Heilongjiang,2009,203.2,41.8905,10.05308689,10.43962998,41.33841854
7,Heilongjiang,2010,218.3,41.7051,10.17264613,10.56928923,42.71849623
7,Heilongjiang,2011,247.4,41.5209,10.2886498,10.69357994,41.60419647
7,Heilongjiang,2012,269.2,39.73,10.38395998,10.97430032,38.27644435
7,Heilongjiang,2013,256.8,35.27,10.46092103,10.77469723,35.21530054
7,Heilongjiang,2014,269.1,31.748,10.51540921,10.64504387,31.80902404
7,Heilongjiang,2015,265.5,28.0967,10.57084392,10.50259874,26.87522334
7,Heilongjiang,2016,269,,,,
7,Heilongjiang,2017,269,,,,
8,Henan,1997,154.3,68.0624,8.38685669,11.42532846,40.60983547
8,Henan,1998,155.8,76.7865,8.471197838,11.42202654,39.28170204
8,Henan,1999,157.2,67.8391,8.549084377,11.46112678,38.27607272
8,Henan,2000,162.1,74.7384,8.63983874,11.60102791,39.5813172
8,Henan,2001,181.3,75.9939,8.726016436,11.60961651,39.45013654
8,Henan,2002,194.3,80.7354,8.8167708,11.6477273,39.96666379
8,Henan,2003,215.7,90.1694,8.918424453,11.64591671,41.89073489
8,Henan,2004,277.6,111.2739,9.046817668,11.67272871,42.60567538
8,Henan,2005,336.2,147.1151,9.179598779,11.72380208,46.24365521
8,Henan,2006,379,146.4285,9.31150385,11.77650438,48.78518522
8,Henan,2007,426.2,141.0203,9.447781468,11.80815895,50.01398838
8,Henan,2008,435.6,128.0622,9.562002613,11.79918653,51.76976146
8,Henan,2009,450.7,117.5969,9.665461321,11.85171644,50.82154118
8,Henan,2010,504.7,116.2874,9.783244357,11.92109358,51.75252768
8,Henan,2011,548.5,122.92,9.895679786,11.8397369,51.79645933
8,Henan,2012,520.7,112.99,9.991898644,11.83033137,50.7361827
8,Henan,2013,483.9,110.27,10.07807634,11.78134062,46.40297223
8,Henan,2014,535.4,103.1667,10.16333618,11.76016047,45.24867309
8,Henan,2015,517.8,91.5002,10.24307115,11.77381942,42.76326031
8,Henan,2016,513,,,,
8,Henan,2017,494,,,,
9,Hunan,1997,98,46.8257,8.393894975,11.77266321,31.72391525
9,Hunan,1998,99.2,61.8784,8.475474962,11.78466869,31.75311433
9,Hunan,1999,80.6,60.6373,8.556132865,11.74519525,31.43622416
9,Hunan,2000,77.3,62.6494,8.642310561,11.63126834,30.82537189
9,Hunan,2001,85.4,58.6849,8.728488258,11.58221829,30.80534461
9,Hunan,2002,92.1,57.5897,8.814665954,11.6243595,30.4879635
9,Hunan,2003,104.9,67.1389,8.906333142,11.72910079,31.86659199
9,Hunan,2004,125.3,71.1772,9.020554286,11.7209635,32.33125485
9,Hunan,2005,178.5,75.4973,9.13030515,11.71537639,33.28224254
9,Hunan,2006,203.2,76.6025,9.244526294,11.51316544,35.21558345
9,Hunan,2007,223.3,73.943,9.384288237,11.51405483,35.99400398
9,Hunan,2008,226.5,67.4803,9.514438921,11.4332327,37.3009087
9,Hunan,2009,239,64.9426,9.642832136,11.47621999,36.90286676
9,Hunan,2010,254.9,62.7383,9.779109754,11.4679804,39.31366583
9,Hunan,2011,285.5,63.6181,9.899555907,11.48449513,41.29604323
9,Hunan,2012,281.7,59.33,10.00661498,11.48383645,41.24945891
9,Hunan,2013,271.2,58.87,10.10283384,11.43291859,40.61869077
9,Hunan,2014,269.9,55.9504,10.1935882,11.31777396,39.75941402
9,Hunan,2015,289.2,51.5935,10.27516819,11.2501051,37.871879
9,Hunan,2016,294,,,,
9,Hunan,2017,310,,,,
10,InnerMongolia,1997,97,53.1603,8.51318517,10.13630417,30.78430183
10,InnerMongolia,1998,92.4,56.8503,8.614838824,10.08601742,30.2913175
10,InnerMongolia,1999,97.3,52.1816,8.699179972,10.04124749,30.82193271
10,InnerMongolia,2000,105.5,50.6309,8.801736561,9.991681563,31.4588856
10,InnerMongolia,2001,115.8,48.5106,8.903390214,9.950371138,31.56826019
10,InnerMongolia,2002,127.1,55.9001,9.027376194,10.03174883,31.68001072
10,InnerMongolia,2003,149.3,113.7818,9.192042816,10.06802694,32.38596873
10,InnerMongolia,2004,207.3,103.3997,9.378522383,10.03661887,33.38857705
10,InnerMongolia,2005,240.5,129.5658,9.592019557,10.12531023,37.84554792
10,InnerMongolia,2006,290.7,138.3589,9.757533995,10.2336183,40.97122921
10,InnerMongolia,2007,340,128.325,9.933166564,10.12747075,43.30845469
10,InnerMongolia,2008,411.4,125.8581,10.09698465,10.28079321,45.66064829
10,InnerMongolia,2009,445.3,120.4018,10.25313333,10.26172128,46.23423423
10,InnerMongolia,2010,477.4,119.2984,10.39289527,10.58496693,48.13570939
10,InnerMongolia,2011,598.2,125.018,10.52655166,10.5817495,49.45445227
10,InnerMongolia,2012,621.6,124.15,10.63540606,10.42281692,48.71220069
10,InnerMongolia,2013,576.2,123.64,10.72158376,10.51829474,46.96243313
10,InnerMongolia,2014,582.2,116.7133,10.79669123,10.57961573,44.48123515
10,InnerMongolia,2015,584.7,106.1017,10.87087063,10.48438946,43.40170855
10,InnerMongolia,2016,590,,,,
10,InnerMongolia,2017,639,,,,
11,Jiangsu,1997,183.9,99.8173,9.145375093,12.07514928,45.15398917
11,Jiangsu,1998,186.6,121.5742,9.249735108,12.19815639,43.85711012
11,Jiangsu,1999,194,93.4906,9.345953966,12.2112542,44.01233076
11,Jiangsu,2000,199.4,114.0991,9.446703869,12.21564172,44.992512
11,Jiangsu,2001,191.6,108.7585,9.54383058,12.50998111,45.16202029
11,Jiangsu,2002,220.1,105.5106,9.6544771,12.47882507,46.00885277
11,Jiangsu,2003,250.8,117.8402,9.78199042,12.41926283,48.25775725
11,Jiangsu,2004,311.6,118.3161,9.920011718,12.48195285,50.08391319
11,Jiangsu,2005,396.1,131.2366,10.05541636,12.59918848,50.75723075
11,Jiangsu,2006,440.9,124.1355,10.19430835,12.56786796,51.04228902
11,Jiangsu,2007,468.7,116.0533,10.33320035,12.50158151,50.36896852
11,Jiangsu,2008,496.6,107.3577,10.45275959,12.46843306,49.29058763
11,Jiangsu,2009,515.6,101.1824,10.56965334,12.45355753,47.78360464
11,Jiangsu,2010,580.3,100.2445,10.68921257,12.48279488,46.53573115
11,Jiangsu,2011,633.3,102.5013,10.79357259,12.41429746,45.36853493
11,Jiangsu,2012,656.2,95.92,10.88979145,12.37198531,44.22726091
11,Jiangsu,2013,694.3,90.95,10.98145864,12.30392051,42.68187719
11,Jiangsu,2014,704.5,87.0175,11.06488024,12.23022853,41.42520501
11,Jiangsu,2015,759.5,79.4656,11.14646023,12.23770212,39.92851599
11,Jiangsu,2016,724,,,,
11,Jiangsu,2017,736,,,,
12,Jiangxi,1997,51.8,21.6527,8.266164437,10.87895244,27.33766355
12,Jiangxi,1998,50.7,24.3817,8.334757228,10.73020363,27.74337595
12,Jiangxi,1999,51.4,23.6745,8.409864701,10.65709464,27.1782699
12,Jiangxi,2000,53.3,28.8108,8.486825742,10.64437673,27.15232119
12,Jiangxi,2001,58,25.9002,8.57116689,10.63361737,27.72604427
12,Jiangxi,2002,63.3,24.8105,8.671012225,10.73898029,28.66458816
12,Jiangxi,2003,75.9,39.1746,8.793229858,10.82247465,30.75111936
12,Jiangxi,2004,89.2,46.9003,8.917215838,10.91416076,32.97943125
12,Jiangxi,2005,96.4,55.459,9.037661991,10.89622067,35.87838571
12,Jiangxi,2006,108.8,56.9908,9.153665666,11.06779394,39.52158788
12,Jiangxi,2007,127.2,55.3413,9.277651646,11.17619319,41.58958666
12,Jiangxi,2008,130.3,51.1173,9.401637626,11.13722788,41.69902669
12,Jiangxi,2009,142.2,49.02,9.524739823,11.11530947,41.75682348
12,Jiangxi,2010,148.4,47.0954,9.655768086,11.1917004,45.35649215
12,Jiangxi,2011,164,56.8058,9.773551121,11.17319192,46.24406767
12,Jiangxi,2012,164,55.15,9.877911137,11.12536412,45.0092981
12,Jiangxi,2013,197.4,54.35,9.974129994,11.13063963,44.77671703
12,Jiangxi,2014,202.3,51.7408,10.06670918,11.07992471,43.58123608
12,Jiangxi,2015,210.4,51.5661,10.15380388,11.24389503,41.36624615
12,Jiangxi,2016,213,,,,
12,Jiangxi,2017,224,,,,
13,Jilin,1997,98.6,19.3184,8.628913441,10.62174189,33.81045386
13,Jilin,1998,83.3,21.1655,8.716008148,10.5503028,31.96601249
13,Jilin,1999,84,21.0021,8.794819328,10.56604665,33.01573259
13,Jilin,2000,83,20.1688,8.882830206,10.52905158,33.59859801
13,Jilin,2001,89.1,19.0626,8.971756415,10.47937031,34.17973448
13,Jilin,2002,92.2,18.715,9.062510778,10.45688404,34.21402233
13,Jilin,2003,134.3,18.8434,9.159637489,10.3534479,34.96288616
13,Jilin,2004,112.3,21.5701,9.274750296,10.42132851,36.64145855
13,Jilin,2005,143.4,30.7812,9.38897144,10.62592651,37.67509053
13,Jilin,2006,158.9,33.5822,9.528733382,10.57951401,38.81271169
13,Jilin,2007,170.5,33.6566,9.678015085,10.58824968,41.07601392
13,Jilin,2008,179.4,31.3202,9.82643509,10.55458803,41.83517219
13,Jilin,2009,185.7,30.02,9.953948411,10.5337748,41.96599691
13,Jilin,2010,202.1,30.0636,10.08322075,10.56245728,45.33341486
13,Jilin,2011,233.9,36.3443,10.21249308,10.64265917,46.53258686
13,Jilin,2012,229.5,35.23,10.32582177,10.71090048,46.75741504
13,Jilin,2013,222.3,33.1,10.40555674,10.66092322,46.44407653
13,Jilin,2014,222.6,31.9643,10.46853153,10.64998591,46.54651043
13,Jilin,2015,207.6,30.2082,10.52962663,10.56545362,43.46151959
13,Jilin,2016,201,,,,
13,Jilin,2017,204,,,,
14,Liaoning,1997,200.7,83.7627,9.073947747,11.70993036,43.75652485
14,Liaoning,1998,190.6,75.1648,9.153682715,11.7112926,42.86877243
14,Liaoning,1999,184.5,72.3645,9.232493896,11.66169024,43.04514477
14,Liaoning,2000,213,70.5672,9.317753739,11.59950675,45.29584113
14,Liaoning,2001,205.5,60.755,9.403931436,11.50796317,43.51450801
14,Liaoning,2002,220.7,57.3015,9.501058146,11.42955473,42.72363518
14,Liaoning,2003,236.7,63.7265,9.609912551,11.39847936,42.59563451
14,Liaoning,2004,250.2,64.9313,9.730358704,11.4274765,40.17401079
14,Liaoning,2005,279.6,96.1469,9.84636238,11.56240111,42.27277359
